artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
50 Cent,P.I.M.P.,3G0yz3DZn3lfraledmBCT0,0.712,0.772,10,-3.024,0,0.346,0.0521,4.35e-06,0.0368,0.848,84.722,audio_features,spotify:track:3G0yz3DZn3lfraledmBCT0,https://api.spotify.com/v1/tracks/3G0yz3DZn3lfraledmBCT0,https://api.spotify.com/v1/audio-analysis/3G0yz3DZn3lfraledmBCT0,249480,4
"Ja Rule, Ashanti",Always On Time,4hrae8atte6cRlSC9a7VCO,0.839,0.706,5,-6.104,0,0.199,0.208,0.0,0.242,0.839,96.673,audio_features,spotify:track:4hrae8atte6cRlSC9a7VCO,https://api.spotify.com/v1/tracks/4hrae8atte6cRlSC9a7VCO,https://api.spotify.com/v1/audio-analysis/4hrae8atte6cRlSC9a7VCO,245133,4
T.I.,Whatever You Like,1IAzD1muglOxOcPbUHs70R,0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,audio_features,spotify:track:1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/tracks/1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/audio-analysis/1IAzD1muglOxOcPbUHs70R,249533,4
"Trey Songz, Nicki Minaj",Bottoms Up (feat. Nicki Minaj),4AYX69oFP3UOS1CFmV9UfO,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989,audio_features,spotify:track:4AYX69oFP3UOS1CFmV9UfO,https://api.spotify.com/v1/tracks/4AYX69oFP3UOS1CFmV9UfO,https://api.spotify.com/v1/audio-analysis/4AYX69oFP3UOS1CFmV9UfO,242013,4
Rick Ross,Hustlin',3hQCHzkE5oSA3F1xM8bpcM,0.502,0.652,9,-7.224,1,0.3,0.0848,0.0,0.0675,0.648,136.08,audio_features,spotify:track:3hQCHzkE5oSA3F1xM8bpcM,https://api.spotify.com/v1/tracks/3hQCHzkE5oSA3F1xM8bpcM,https://api.spotify.com/v1/audio-analysis/3hQCHzkE5oSA3F1xM8bpcM,254093,4
"Snoop Dogg, Pharrell Williams",Drop It Like It's Hot,2NBQmPrOEEjA8VbeWOQGxO,0.888,0.632,1,-3.872,1,0.219,0.19,0.0,0.101,0.662,91.979,audio_features,spotify:track:2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/tracks/2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/audio-analysis/2NBQmPrOEEjA8VbeWOQGxO,266067,4
Busta Rhymes,Break Ya Neck,2QbMbzEo18oUOD7GF95lWW,0.826,0.79,4,-7.555,0,0.242,0.463,0.00251,0.0614,0.739,83.014,audio_features,spotify:track:2QbMbzEo18oUOD7GF95lWW,https://api.spotify.com/v1/tracks/2QbMbzEo18oUOD7GF95lWW,https://api.spotify.com/v1/audio-analysis/2QbMbzEo18oUOD7GF95lWW,231667,4
The Notorious B.I.G.,Big Poppa - 2005 Remaster,2g8HN35AnVGIk7B8yMucww,0.78,0.575,9,-7.247,0,0.273,0.43,0.0,0.143,0.773,84.492,audio_features,spotify:track:2g8HN35AnVGIk7B8yMucww,https://api.spotify.com/v1/tracks/2g8HN35AnVGIk7B8yMucww,https://api.spotify.com/v1/audio-analysis/2g8HN35AnVGIk7B8yMucww,252747,4
"Jeezy, Kanye West",Put On,5dANgSy7v091dhiPnEXNrf,0.654,0.77,9,-6.091,0,0.0353,0.00342,0.0,0.0887,0.272,137.616,audio_features,spotify:track:5dANgSy7v091dhiPnEXNrf,https://api.spotify.com/v1/tracks/5dANgSy7v091dhiPnEXNrf,https://api.spotify.com/v1/audio-analysis/5dANgSy7v091dhiPnEXNrf,321293,4
Eminem,W.T.P.,1ne7JVHEPnoncXzQunQVKW,0.77,0.937,9,-2.327,1,0.247,0.0319,0.0,0.348,0.685,95.011,audio_features,spotify:track:1ne7JVHEPnoncXzQunQVKW,https://api.spotify.com/v1/tracks/1ne7JVHEPnoncXzQunQVKW,https://api.spotify.com/v1/audio-analysis/1ne7JVHEPnoncXzQunQVKW,238173,4
